event_id,event_cycle,event_type,module,command_id,opcode,logical_id,slice_id,stage,subrequest_state,channel_state,chip_state,plane_state,channel,chip,die,plane,stage_start_cycle,stage_end_cycle,duration_cycles,active_commands
10,7,COMPLETE,onfi_bus[ch6],6,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,6,0,0,0,0,7,7,6
11,7,COMPLETE,onfi_bus[ch5],5,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,5,0,0,0,0,7,7,5
12,7,COMPLETE,onfi_bus[ch4],4,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,4,0,0,0,0,7,7,4
13,7,COMPLETE,onfi_bus[ch3],3,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,3,0,0,0,0,7,7,3
14,7,COMPLETE,onfi_bus[ch2],2,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,2,0,0,0,0,7,7,2
15,7,COMPLETE,onfi_bus[ch1],1,READ_COMPUTE,0,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,1,0,0,0,0,7,7,1
16,7,ISSUE,onfi_bus[ch0],0,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,0,0,0,0,7,263,256,1
17,7,ISSUE,onfi_bus[ch1],1,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,1,0,0,0,7,263,256,2
18,7,ISSUE,onfi_bus[ch2],2,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,2,0,0,0,7,263,256,3
19,7,ISSUE,onfi_bus[ch3],3,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,3,0,0,0,7,263,256,4
20,7,ISSUE,onfi_bus[ch4],4,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,4,0,0,0,7,263,256,5
21,7,ISSUE,onfi_bus[ch5],5,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,5,0,0,0,7,263,256,6
22,7,ISSUE,onfi_bus[ch6],6,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,6,0,0,0,7,263,256,7
23,7,ISSUE,onfi_bus[ch7],7,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,0,0,0,7,263,256,8
24,263,COMPLETE,onfi_bus[ch0],0,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,0,0,0,0,7,263,256,8
25,263,COMPLETE,onfi_bus[ch7],7,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,0,0,0,7,263,256,7
26,263,COMPLETE,onfi_bus[ch6],6,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,6,0,0,0,7,263,256,6
27,263,COMPLETE,onfi_bus[ch5],5,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,5,0,0,0,7,263,256,5
28,263,COMPLETE,onfi_bus[ch4],4,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,4,0,0,0,7,263,256,4
29,263,COMPLETE,onfi_bus[ch3],3,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,3,0,0,0,7,263,256,3
30,263,COMPLETE,onfi_bus[ch2],2,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,2,0,0,0,7,263,256,2
31,263,COMPLETE,onfi_bus[ch1],1,READ_COMPUTE,0,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,1,0,0,0,7,263,256,1
32,263,ISSUE,plane_array[ch0:chip0:die0:plane0],0,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,0,0,0,0,263,30263,30000,1
33,263,ISSUE,plane_array[ch1:chip0:die0:plane0],1,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,1,0,0,0,263,30263,30000,2
34,263,ISSUE,plane_array[ch2:chip0:die0:plane0],2,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,2,0,0,0,263,30263,30000,3
35,263,ISSUE,plane_array[ch3:chip0:die0:plane0],3,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,3,0,0,0,263,30263,30000,4
36,263,ISSUE,plane_array[ch4:chip0:die0:plane0],4,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,4,0,0,0,263,30263,30000,5
37,263,ISSUE,plane_array[ch5:chip0:die0:plane0],5,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,5,0,0,0,263,30263,30000,6
38,263,ISSUE,plane_array[ch6:chip0:die0:plane0],6,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,6,0,0,0,263,30263,30000,7
39,263,ISSUE,plane_array[ch7:chip0:die0:plane0],7,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,7,0,0,0,263,30263,30000,8
40,263,ISSUE,onfi_bus[ch0],8,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,1,0,0,263,270,7,9
41,263,ISSUE,onfi_bus[ch1],9,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,1,1,0,0,263,270,7,10
42,263,ISSUE,onfi_bus[ch2],10,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,2,1,0,0,263,270,7,11
43,263,ISSUE,onfi_bus[ch3],11,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,3,1,0,0,263,270,7,12
44,263,ISSUE,onfi_bus[ch4],12,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,4,1,0,0,263,270,7,13
45,263,ISSUE,onfi_bus[ch5],13,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,5,1,0,0,263,270,7,14
46,263,ISSUE,onfi_bus[ch6],14,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,6,1,0,0,263,270,7,15
47,263,ISSUE,onfi_bus[ch7],15,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,7,1,0,0,263,270,7,16
48,270,COMPLETE,onfi_bus[ch0],8,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,0,1,0,0,263,270,7,16
49,270,COMPLETE,onfi_bus[ch1],9,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,1,1,0,0,263,270,7,15
50,270,COMPLETE,onfi_bus[ch6],14,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,6,1,0,0,263,270,7,14
51,270,COMPLETE,onfi_bus[ch7],15,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,7,1,0,0,263,270,7,13
52,270,COMPLETE,onfi_bus[ch2],10,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,2,1,0,0,263,270,7,12
53,270,COMPLETE,onfi_bus[ch3],11,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,3,1,0,0,263,270,7,11
54,270,COMPLETE,onfi_bus[ch4],12,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,4,1,0,0,263,270,7,10
55,270,COMPLETE,onfi_bus[ch5],13,READ_COMPUTE,1,-1,SSDSIM_CA_TRANSFER,SR_R_C_A_TRANSFER,CHANNEL_C_A_TRANSFER,CHIP_C_A_TRANSFER,PLANE_CMD_LATCH,5,1,0,0,263,270,7,9
56,270,ISSUE,onfi_bus[ch0],8,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,0,1,0,0,270,526,256,9
57,270,ISSUE,onfi_bus[ch1],9,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,1,1,0,0,270,526,256,10
58,270,ISSUE,onfi_bus[ch2],10,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,2,1,0,0,270,526,256,11
59,270,ISSUE,onfi_bus[ch3],11,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,3,1,0,0,270,526,256,12
60,270,ISSUE,onfi_bus[ch4],12,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,4,1,0,0,270,526,256,13
61,270,ISSUE,onfi_bus[ch5],13,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,5,1,0,0,270,526,256,14
62,270,ISSUE,onfi_bus[ch6],14,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,6,1,0,0,270,526,256,15
63,270,ISSUE,onfi_bus[ch7],15,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,1,0,0,270,526,256,16
64,526,COMPLETE,onfi_bus[ch0],8,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,0,1,0,0,270,526,256,16
65,526,COMPLETE,onfi_bus[ch1],9,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,1,1,0,0,270,526,256,15
66,526,COMPLETE,onfi_bus[ch6],14,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,6,1,0,0,270,526,256,14
67,526,COMPLETE,onfi_bus[ch7],15,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,7,1,0,0,270,526,256,13
68,526,COMPLETE,onfi_bus[ch2],10,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,2,1,0,0,270,526,256,12
69,526,COMPLETE,onfi_bus[ch3],11,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,3,1,0,0,270,526,256,11
70,526,COMPLETE,onfi_bus[ch4],12,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,4,1,0,0,270,526,256,10
71,526,COMPLETE,onfi_bus[ch5],13,READ_COMPUTE,1,-1,IFC_VECTOR_TRANSFER,SR_IFC_VECTOR_TRANSFER,CHANNEL_DATA_TRANSFER,CHIP_DATA_TRANSFER,PLANE_INPUT_LATCH,5,1,0,0,270,526,256,9
72,526,ISSUE,plane_array[ch0:chip1:die0:plane0],8,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,0,1,0,0,526,30526,30000,9
73,526,ISSUE,plane_array[ch1:chip1:die0:plane0],9,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,1,1,0,0,526,30526,30000,10
74,526,ISSUE,plane_array[ch2:chip1:die0:plane0],10,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,2,1,0,0,526,30526,30000,11
75,526,ISSUE,plane_array[ch3:chip1:die0:plane0],11,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,3,1,0,0,526,30526,30000,12
76,526,ISSUE,plane_array[ch4:chip1:die0:plane0],12,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,4,1,0,0,526,30526,30000,13
77,526,ISSUE,plane_array[ch5:chip1:die0:plane0],13,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,5,1,0,0,526,30526,30000,14
78,526,ISSUE,plane_array[ch6:chip1:die0:plane0],14,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,6,1,0,0,526,30526,30000,15
79,526,ISSUE,plane_array[ch7:chip1:die0:plane0],15,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,7,1,0,0,526,30526,30000,16
80,30263,COMPLETE,plane_array[ch7:chip0:die0:plane0],7,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,7,0,0,0,263,30263,30000,16
81,30263,COMPLETE,plane_array[ch4:chip0:die0:plane0],4,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,4,0,0,0,263,30263,30000,15
82,30263,COMPLETE,plane_array[ch1:chip0:die0:plane0],1,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,1,0,0,0,263,30263,30000,14
83,30263,COMPLETE,plane_array[ch2:chip0:die0:plane0],2,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,2,0,0,0,263,30263,30000,13
84,30263,COMPLETE,plane_array[ch0:chip0:die0:plane0],0,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,0,0,0,0,263,30263,30000,12
85,30263,COMPLETE,plane_array[ch6:chip0:die0:plane0],6,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,6,0,0,0,263,30263,30000,11
86,30263,COMPLETE,plane_array[ch5:chip0:die0:plane0],5,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,5,0,0,0,263,30263,30000,10
87,30263,COMPLETE,plane_array[ch3:chip0:die0:plane0],3,READ_COMPUTE,0,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,3,0,0,0,263,30263,30000,9
88,30263,ISSUE,ifc_compute[ch0:chip0:die0],0,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,0,0,0,0,30263,31287,1024,9
89,30263,ISSUE,ifc_compute[ch1:chip0:die0],1,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,1,0,0,0,30263,31287,1024,10
90,30263,ISSUE,ifc_compute[ch2:chip0:die0],2,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,2,0,0,0,30263,31287,1024,11
91,30263,ISSUE,ifc_compute[ch3:chip0:die0],3,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,3,0,0,0,30263,31287,1024,12
92,30263,ISSUE,ifc_compute[ch4:chip0:die0],4,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,4,0,0,0,30263,31287,1024,13
93,30263,ISSUE,ifc_compute[ch5:chip0:die0],5,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,5,0,0,0,30263,31287,1024,14
94,30263,ISSUE,ifc_compute[ch6:chip0:die0],6,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,6,0,0,0,30263,31287,1024,15
95,30263,ISSUE,ifc_compute[ch7:chip0:die0],7,READ_COMPUTE,0,-1,IFC_COMPUTE,SR_IFC_COMPUTE,CHANNEL_IDLE,CHIP_IFC_COMPUTE,PLANE_IFC_COMPUTE,7,0,0,0,30263,31287,1024,16
96,30526,COMPLETE,plane_array[ch0:chip1:die0:plane0],8,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,0,1,0,0,526,30526,30000,16
97,30526,COMPLETE,plane_array[ch4:chip1:die0:plane0],12,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,4,1,0,0,526,30526,30000,15
98,30526,COMPLETE,plane_array[ch6:chip1:die0:plane0],14,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,6,1,0,0,526,30526,30000,14
99,30526,COMPLETE,plane_array[ch7:chip1:die0:plane0],15,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,7,1,0,0,526,30526,30000,13
100,30526,COMPLETE,plane_array[ch5:chip1:die0:plane0],13,READ_COMPUTE,1,-1,SSDSIM_ARRAY_READ,SR_R_READ,CHANNEL_IDLE,CHIP_READ_BUSY,PLANE_ARRAY_BUSY,5,1,0,0,526,30526,30000,12
